"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","setUpBeforeClass","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","broken","Fri May 23 13:35:49 GMT 2025","ProductTests","ProductTests","ProductTests","setUpBeforeClass"
"","0","setUpBeforeClass","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","broken","Fri May 23 13:35:49 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","setUpBeforeClass"
"","1","login","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","0","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","3","verifyCheckoutInfoValidation","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","verifyCheckoutInfoValidation"
"","1","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1","setUpBeforeClass","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","broken","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","setUpBeforeClass"
"","0","logout","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","0","checkoutWithOneProduct","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithOneProduct"
"","1","addProductsToTheCart","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","ProductTests","ProductTests","ProductTests","addProductsToTheCart"
"","0","deleteProductsFromTheCart","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","ProductTests","ProductTests","ProductTests","deleteProductsFromTheCart"
"","0","login","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","0","login","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","4","login","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","0","logout","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1","cancelCheckout","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","cancelCheckout"
"","0","tearDown","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","broken","Fri May 23 13:35:49 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","tearDown"
"","0","logout","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","0","sortProducts","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","ProductTests","ProductTests","ProductTests","sortProducts"
"","0","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","0","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","0","logout","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","0","logout","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","0","validationForLockedOutUser","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","validationForLockedOutUser"
"","0","checkoutWithMultipleProducts","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithMultipleProducts"
"","0","tearDown","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","broken","Fri May 23 13:35:49 GMT 2025","ProductTests","ProductTests","ProductTests","tearDown"
"","0","login","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1","tearDown","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","broken","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","tearDown"
"","0","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:35:49 GMT 2025","skipped","Fri May 23 13:35:49 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
